City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
156,Bosaso,SO,75.25,11.2842,49.1816,Red Sea Hotel
157,Bethel,US,37.26,41.3712,-73.414,Courtyard by Marriott Danbury
159,Flin Flon,CA,28.24,54.7682,-101.865,Victoria Inn Flin Flon
161,Kunming,CN,60.51,25.0389,102.7183,昆明佳华广场酒店
163,Prince Rupert,CA,41.09,54.3161,-130.3201,Crest Hotel
164,Mount Gambier,AU,89.65,-37.8333,140.7667,The Commodore
165,Inhambane,MZ,76.98,-23.865,35.3833,Oceano
166,Qaqortoq,GL,1.96,60.7167,-46.0333,Siniffik Inn
167,Mahalapye,BW,67.5,-23.1041,26.8142,Keeme-Nao Hotel
168,Elliot Lake,CA,10.49,46.3834,-82.6331,Huron Lodge
169,Esperance,AU,69.62,-33.8667,121.9,Hospitality Esperance
170,Bengkulu,ID,84.27,-3.8004,102.2655,Grage Hotel Bengkulu
171,Cabo San Lucas,MX,63.61,22.8909,-109.9124,Hotel Tesoro Los Cabos
172,Vila,PT,39.33,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
173,Khromtau,KZ,16.75,50.2503,58.4347,Придорожный сервис Кең Дала
174,Valparaiso,CL,64.47,-33.0393,-71.6273,Hotel Ultramar
175,Castro,BR,61.11,-24.7911,-50.0119,CHACARA BAILLY
177,Tasiilaq,GL,23.16,65.6145,-37.6368,The Red House
178,Port Hardy,CA,44.76,50.6996,-127.4199,Airport Inn-Port Hardy
179,Findlay,US,24.22,41.0442,-83.6499,Drury Inn & Suites Findlay
180,Carthage,TN,54.93,36.8611,10.3316,Dar Fatma
181,Boundiali,CI,68.97,9.5217,-6.4869,Hotel Paysan Boundiali
182,Oriximina,BR,72.64,-1.7656,-55.8661,Pousada Tia Amélia
183,Biak,ID,81.48,-0.9131,122.8766,Penginapan Kim
185,Praia Da Vitoria,PT,57.76,38.7333,-27.0667,Hotel Branco I
186,Tura,IN,67.98,25.5198,90.2201,Hotel RIKMAN Continental
187,Vestmannaeyjar,IS,29.89,63.4427,-20.2734,Glamping & Camping
188,Ixtapa,MX,69.03,20.7,-105.2,hotel la terminal
190,Goma,CD,64.24,-1.6792,29.2228,"Goma, CENTRE D'ACCUEIL CARITAS"
191,Ancud,CL,63.23,-41.8697,-73.8203,Hotel Arena Gruesa
192,Thompson,CA,21.36,55.7435,-97.8558,Burntwood Hotel
193,Puerto Leguizamo,CO,70.54,-0.1934,-74.7819,la casona de juancho
194,Abha,SA,50.25,18.2164,42.5053,Abha Hotel
196,Sayyan,YE,50.45,15.1718,44.3244,ملاطف ابوحورية
197,Oistins,BB,77.09,13.0667,-59.5333,Butterfly Beach Hotel
198,Hilo,US,71.33,19.7297,-155.09,Hilo Hawaiian Hotel
199,Waipawa,NZ,67.93,-41.4122,175.5153,Tora Coastal Walk
200,Roura,GF,79.97,4.7263,-52.3274,Amazonie Découverte SARL
201,Torbay,CA,23.76,47.6666,-52.7314,Gallows Cove
202,Georgetown,MY,91.33,5.4112,100.3354,Cititel Penang
203,Olinda,BR,82.13,-8.0089,-34.8553,Flat Quatro Rodas Olinda
204,Independence,US,44.1,39.0911,-94.4155,Higher Ground Hotel
205,Emerald,AU,87.35,-23.5333,148.1667,The Irish Village
206,Braganca,BR,72.86,-1.0536,-46.7656,Marujo's Suíte Hotel
208,Nerchinskiy Zavod,RU,1.98,51.3088,119.61,Gostinitsa
209,Ibra,OM,63.39,22.6906,58.5334,مزرعة راحة النفوس المنزفة
210,Panaba,MX,69.24,21.2833,-88.2667,Hotel California
211,Kiev,UA,34.72,50.4333,30.5167,CITYHOTEL
213,Duiwelskloof,ZA,67.42,-23.6934,30.14,Silvermist Guesthouse
215,Misratah,LY,57.04,32.3754,15.0925,Almasa Hotel
216,Dubai,AE,71.22,25.2582,55.3047,"Radisson Blu Hotel, Dubai Deira Creek"
217,Aldan,RU,0.86,58.6031,125.3894,Aldan Guest House
219,West Wendover,US,35.2,40.7391,-114.0733,"Motel 6 Wendover, UT"
220,Vinni,EE,28.31,59.2958,26.4322,Vinni Hostel Ltd.
221,Soe,ID,78.35,-9.8607,124.284,Dena Hotel
223,Praia,CV,64.94,14.9215,-23.5087,LT Aparthotel
225,Trincomalee,LK,80.87,8.5711,81.2335,Welcombe Hotel
226,Sept-Iles,CA,14.05,50.2001,-66.3821,Comfort Inn
227,Tandil,AR,51.62,-37.3217,-59.1332,Hostal de la Sierra Tandil
228,Yeppoon,AU,83.98,-23.1333,150.7333,Villa Mar Colina
229,Risor,NO,41.16,58.7206,9.2342,Risør Hotel
230,Hajnowka,PL,34.02,52.7433,23.5812,"Zajazd ""Wrota Lasu"""
231,Sakakah,SA,49.35,29.9697,40.2064,Fakhamat Al Orjoana Apartment
232,Victoria,HK,66.25,22.2855,114.1577,Mini Hotel Central
233,Coihaique,CL,57.15,-45.5752,-72.0662,Diego De Almagro Coyhaique
235,Karratha,AU,88.5,-20.7377,116.8463,ibis Styles Karratha
236,Datong,CN,27.41,40.0936,113.2914,Holiday Inn Datong City Centre
237,Huarmey,PE,70.97,-10.0681,-78.1522,Hotel Miramar
238,Flinders,AU,76.8,-34.5833,150.8552,Shellharbour Resort & Conference Centre
239,Hobyo,SO,77.22,5.3505,48.5268,Iftin hotel hobyo
240,Yumbe,UG,67.96,3.4651,31.2469,Antonio's Hotel
242,Kesinga,IN,79.79,20.2,83.2333,Hotel Jayashree
243,Benjamin Constant,BR,73.53,-4.3831,-70.0311,CASA AVALIADA
244,Barabai,ID,89.71,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
245,Ambilobe,MG,79.93,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
246,Charters Towers,AU,89.76,-20.1,146.2667,Cattleman's Rest Motor Inn
247,Necochea,AR,51.04,-38.5473,-58.7368,dyd -mar Hotel
248,La Paz,BO,42.78,-16.5,-68.15,Hotel Presidente
249,Nelson Bay,AU,77.29,-32.7167,152.15,Mantra Nelson Bay
250,Shingu,JP,45.91,33.7333,135.9833,Shingu UI Hotel
