City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
110,Codrington,-38.2667,141.9667,88.23,19,48,8.59,AU,2022-02-08 05:05:09,scattered clouds
111,Trairi,-3.2778,-39.2689,76.87,84,9,6.17,BR,2022-02-08 05:05:10,clear sky
112,Mangrol,21.1167,70.1167,71.62,63,1,6.69,IN,2022-02-08 05:05:10,clear sky
113,Ohara,35.25,140.3833,44.89,96,100,11.3,JP,2022-02-08 05:05:11,overcast clouds
114,Matay,28.419,30.7792,50.95,47,0,1.83,EG,2022-02-08 05:05:11,clear sky
115,Cockburn Town,21.4612,-71.1419,77.05,79,0,17.4,TC,2022-02-08 05:03:37,clear sky
116,Alexandria,31.2156,29.9553,54.77,50,64,9.8,EG,2022-02-08 05:03:38,broken clouds
117,Koutsouras,35.0339,25.9469,60.12,75,14,24.9,GR,2022-02-08 05:05:12,few clouds
118,College,64.8569,-147.8028,-1.88,70,75,5.75,US,2022-02-08 05:05:13,broken clouds
119,Narsaq,60.9167,-46.05,-7.98,73,83,11.81,GL,2022-02-08 05:01:05,broken clouds
120,Hithadhoo,-0.6,73.0833,82.99,68,95,15.19,MV,2022-02-08 05:00:16,overcast clouds
121,Hofn,64.2539,-15.2082,29.73,61,100,40.51,IS,2022-02-08 05:03:11,overcast clouds
122,Cayenne,4.9333,-52.3333,80.1,84,75,6.91,GF,2022-02-08 05:02:14,broken clouds
123,Quatre Cocos,-20.2078,57.7625,82.51,74,100,12.88,MU,2022-02-08 05:05:14,overcast clouds
124,Kodiak,57.79,-152.4072,36.91,93,100,3.44,US,2022-02-08 05:05:14,mist
125,High Level,58.5169,-117.136,6.91,85,75,13.8,CA,2022-02-08 05:05:04,light snow
126,Barinas,8.6226,-70.2075,76.93,62,93,3.49,VE,2022-02-08 05:05:15,overcast clouds
127,Ihosy,-22.4,46.1167,70.56,90,100,11.72,MG,2022-02-08 05:05:15,overcast clouds
128,Valdivia,-39.8142,-73.2459,55.24,81,100,1.7,CL,2022-02-08 05:01:00,overcast clouds
129,Kavieng,-2.5744,150.7967,85.01,68,59,7.11,PG,2022-02-08 05:05:16,broken clouds
130,Faanui,-16.4833,-151.75,81.48,78,100,19.98,PF,2022-02-08 05:05:16,overcast clouds
131,Kruisfontein,-34.0033,24.7314,70.9,48,1,1.72,ZA,2022-02-08 04:55:35,clear sky
132,Tres Lagoas,-20.7511,-51.6783,68.5,67,87,5.86,BR,2022-02-08 05:05:17,overcast clouds
133,Dingle,10.9995,122.6711,85.68,63,69,13.49,PH,2022-02-08 04:59:22,broken clouds
134,Adre,13.4667,22.2,54.63,21,0,11.88,TD,2022-02-08 05:05:18,clear sky
135,Geraldton,-28.7667,114.6,82.81,32,0,17.27,AU,2022-02-08 05:05:18,clear sky
136,Puerto Ayora,-0.7393,-90.3518,72.25,85,11,4.9,EC,2022-02-08 05:04:39,few clouds
137,Havelock,34.8791,-76.9013,43.03,95,100,5.01,US,2022-02-08 04:59:21,overcast clouds
138,Kulu,39.0951,33.0799,31.73,96,91,7.67,TR,2022-02-08 05:06:19,overcast clouds
139,Los Mochis,25.7667,-108.9667,59.07,80,0,10.74,MX,2022-02-08 05:06:19,clear sky
140,Vila Franca Do Campo,37.7167,-25.4333,59.2,77,100,6.8,PT,2022-02-08 05:06:20,overcast clouds
